의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2114755,21,공직선거법 일부개정법률안,조해진의원 등 10인,조해진,"강대식,강민국,구자근,김병욱,김성원,박진,이만희,이철규,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2S2A0V2A1K0W1Y9Z0N4C0E9C8X1C8&ageFrom=21&ageTo=21,정치개혁 특별위원회,2022-02-11,대안반영폐기,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2S2A0V2A1K0W1Y9Z0N4C0E9C8X1C8
2114754,21,대한노인회 지원에 관한 법률 일부개정법률안,구자근의원등10인,구자근,"김도읍,김예지,김태흠,박성민,배준영,서병수,임이자,장제원,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2F1E0U8B0Z3L1L4H3M1Z5C3F0N6R1&ageFrom=21&ageTo=21,보건복지위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C2F1E0U8B0Z3L1L4H3M1Z5C3F0N6R1
2114753,21,근로기준법 일부개정법률안,윤미향의원 등 12인,윤미향,"강민정,강은미,김의겸,김주영,남인순,민형배,송옥주,안호영,양정숙,이수진,정청래",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2V2P0Y1I2R1R1F1D4O7E3L8Q7L6E7&ageFrom=21&ageTo=21,환경노동위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_S2V2P0Y1I2R1R1F1D4O7E3L8Q7L6E7
2114752,21,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,윤미향의원 등 12인,윤미향,"강은미,김의겸,김주영,남인순,민형배,송옥주,안호영,양정숙,이수진,장철민,정청래",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Z2A0M1R2M1T1H1P5U1C5H1Y5E9L6&ageFrom=21&ageTo=21,환경노동위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2Z2A0M1R2M1T1H1P5U1C5H1Y5E9L6
2114751,21,산업안전보건법 일부개정법률안,윤미향의원 등 12인,윤미향,"강민정,강은미,김의겸,김주영,민형배,송옥주,안호영,양정숙,이수진,장철민,정청래",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2E2W0G1H2R1W1A1K5V8H0X8R4D7N3&ageFrom=21&ageTo=21,환경노동위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2E2W0G1H2R1W1A1K5V8H0X8R4D7N3
2114750,21,소년법 일부개정법률안,이종배의원등11인,이종배,"김병욱,김선교,김성원,성일종,윤주경,이채익,조명희,추경호,태영호,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2K2G0P2V0I3B1V1B1O4A2G5L5C5P7&ageFrom=21&ageTo=21,법제사법위원회,2022-02-11,철회,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2K2G0P2V0I3B1V1B1O4A2G5L5C5P7
2114749,21,환경정책기본법 일부개정법률안,조명희의원 등 22인,조명희,"권영세,김병욱,김석기,김예지,김용판,김철민,김형동,박대수,박대출,박덕흠,박성민,박진,이주환,정경희,정점식,정진석,조경태,추경호,하영제,한기호,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2K1X0I2W2V2U1T3Z5C7E2X4S9R1E9&ageFrom=21&ageTo=21,환경노동위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2K1X0I2W2V2U1T3Z5C7E2X4S9R1E9
2114748,21,여객자동차 운수사업법 일부개정법률안,진성준의원 등 11인,진성준,"강병원,김병욱,박상혁,박홍근,송갑석,우원식,이동주,전혜숙,조오섭,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2V2V0W2X0I9V1A1L4V9L1Q3U7Y8S0&ageFrom=21&ageTo=21,국토교통위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2V2V0W2X0I9V1A1L4V9L1Q3U7Y8S0
2114747,21,민법 일부개정법률안,김영배의원 등 10인,김영배,"김병기,민형배,박광온,설훈,유정주,이병훈,이장섭,한병도,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2T2H0R1F2A7T1M4V0Z3T4Y5F3Y0W1&ageFrom=21&ageTo=21,법제사법위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2T2H0R1F2A7T1M4V0Z3T4Y5F3Y0W1
2114746,21,고등교육법 일부개정법률안,조명희의원 등 10인,조명희,"김석기,김성원,박대수,성일종,양향자,이주환,조경태,추경호,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2U2Z0X2P0A7X1X1E1B2E3D6M7Y9U6&ageFrom=21&ageTo=21,교육위원회,2022-02-11,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2U2Z0X2P0A7X1X1E1B2E3D6M7Y9U6
2114745,21,가맹사업거래의 공정화에 관한 법률 일부개정법률안,민형배의원 등 13인,민형배,"김영배,김의겸,김철민,문진석,박성준,소병훈,송재호,윤미향,윤준병,이정문,임종성,정필모",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2F2H0W2Z0L8L1E0Q2N4K0Q0R6E4H5&ageFrom=21&ageTo=21,정무위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2F2H0W2Z0L8L1E0Q2N4K0Q0R6E4H5
