의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2116235,21,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,강대식의원 등 11인,강대식,"김병욱,김상훈,배준영,송언석,유경준,유의동,이만희,이명수,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2N2R0S6I2Q0D1S3O1A7X5D3N9D7M8&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2N2R0S6I2Q0D1S3O1A7X5D3N9D7M8
2116234,21,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,강대식의원등10인,강대식,"김병욱,김승수,배준영,유경준,유의동,이명수,정희용,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Y2Y0C6R0K8O1R7Y4G9B4T5F1T1K0&ageFrom=21&ageTo=21,환경노동위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2Y2Y0C6R0K8O1R7Y4G9B4T5F1T1K0
2116233,21,양성평등기본법 일부개정법률안,강대식의원 등 12인,강대식,"김병욱,김상훈,김승수,배준영,송언석,유경준,유의동,이만희,이명수,조수진,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2D2P0G6R2Y0I1M3N1Z9P1O8Q9Q8J0&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2D2P0G6R2Y0I1M3N1Z9P1O8Q9Q8J0
2116232,21,여수ㆍ순천 10ㆍ19사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안,소병철의원 등 10인,소병철,"김승남,김정호,김회재,서동용,이수진,이용선,정일영,주철현,한준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2X2U0W6Y2U0P1Q7H5Q1P4J1N2U4G4&ageFrom=21&ageTo=21,행정안전위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2X2U0W6Y2U0P1Q7H5Q1P4J1N2U4G4
2116231,21,조세특례제한법 일부개정법률안,정우택의원등11인,정우택,"김학용,서정숙,이양수,이종성,정운천,정희용,조명희,지성호,최승재,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2O2Q0Z6S0V8C0G9I4J7J4G6Z3F8Z0&ageFrom=21&ageTo=21,기획재정위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2O2Q0Z6S0V8C0G9I4J7J4G6Z3F8Z0
2116230,21,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,윤영덕의원 등 12인,윤영덕,"권인숙,문진석,민형배,서삼석,송갑석,양향자,위성곤,이병훈,이용빈,이형석,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2R2F0A6A2N4P1K0H3L6T4K5K8K3N3&ageFrom=21&ageTo=21,교육위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Y2R2F0A6A2N4P1K0H3L6T4K5K8K3N3
2116229,21,조세범 처벌절차법 일부개정법률안,양경숙의원 등 12인,양경숙,"강득구,강준현,김두관,박영순,용혜인,이동주,이병훈,이수진,정성호,정일영,최기상",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2P2V0Q5C0O9W1G6D4L2G0P5I7S2I0&ageFrom=21&ageTo=21,기획재정위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2P2V0Q5C0O9W1G6D4L2G0P5I7S2I0
2116228,21,화물자동차 운수사업법 일부개정법률안,최인호의원 등 13인,최인호,"김성환,맹성규,문정복,박상혁,박영순,박홍근,소병훈,이소영,이수진,조오섭,진성준,천준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2B2S0B6R2U7Y1V6X2J9Y0D8N8U1Z1&ageFrom=21&ageTo=21,민생경제안정특별위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2B2S0B6R2U7Y1V6X2J9Y0D8N8U1Z1
2116227,21,주택법 일부개정법률안,조오섭의원 등 13인,조오섭,"김상희,문진석,민형배,송갑석,양향자,윤영덕,이동주,이용빈,전용기,주철현,최기상,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2Y2X0W6X1O3D1Y9N3C7F2O4C1C9C9&ageFrom=21&ageTo=21,국토교통위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2Y2X0W6X1O3D1Y9N3C7F2O4C1C9C9
2116226,21,공직선거법 일부개정법률안,권칠승의원 등 10인,권칠승,"김상희,김승남,김회재,민병덕,박광온,소병훈,이장섭,임종성,임호선",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2M2R0H6B1A6K1T1F0I5D1Q0R9N1Q1&ageFrom=21&ageTo=21,행정안전위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2M2R0H6B1A6K1T1F0I5D1Q0R9N1Q1
2116225,21,상표법 일부개정법률안,최승재의원 등 10인,최승재,"강대식,김성원,김용판,김웅,김형동,배준영,백종헌,서일준,엄태영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2N2R0R1G1T1X1W1M4B2Y0A8M6K7G4&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2N2R0R1G1T1X1W1M4B2Y0A8M6K7G4
2116224,21,근로기준법 일부개정법률안,조오섭의원 등 12인,조오섭,"김상희,문진석,민형배,송갑석,윤영덕,이동주,이용빈,이형석,전용기,주철현,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2B2W0D6G1W3U1N9Y3J6L2C6Z5O1S6&ageFrom=21&ageTo=21,환경노동위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2B2W0D6G1W3U1N9Y3J6L2C6Z5O1S6
2116223,21,양성평등기본법 일부개정법률안,권인숙의원 등 20인,권인숙,"강민정,강은미,고민정,김상희,김의겸,류호정,민형배,박주민,심상정,양이원영,용혜인,유기홍,유정주,이수진,이수진,이용빈,장경태,장혜영,최강욱",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Z2K0N6A1Z6J1Z0Q2Z1G1J8D4E0H8&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2Z2K0N6A1Z6J1Z0Q2Z1G1J8D4E0H8
2116222,21,의료법 일부개정법률안,조오섭의원 등 13인,조오섭,"문진석,민형배,송갑석,양향자,윤영덕,이동주,이용빈,이형석,전용기,주철현,최기상,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2D2F0F6T1O3T1X9H4X8W1K6P2M3N2&ageFrom=21&ageTo=21,보건복지위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2D2F0F6T1O3T1X9H4X8W1K6P2M3N2
2116221,21,화물자동차 운수사업법 일부개정법률안,조오섭의원 등 13인,조오섭,"김성환,김정호,문진석,민형배,송갑석,양향자,윤영덕,이동주,이용빈,전용기,주철현,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2V2Q0Q6A1P3N1J9V2L7I4B7K5W8X1&ageFrom=21&ageTo=21,민생경제안정특별위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2V2Q0Q6A1P3N1J9V2L7I4B7K5W8X1
2116220,21,원자력안전위원회의 설치 및 운영에 관한 법률 일부개정법률안,정동만의원 등 10인,정동만,"구자근,김도읍,박성민,백종헌,서병수,이종성,이주환,전봉민,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2Y2I0X2W1R0E1P5T1T6A1N7I8G9E9&ageFrom=21&ageTo=21,과학기술정보방송통신위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2Y2I0X2W1R0E1P5T1T6A1N7I8G9E9
2116219,21,아동·청소년의 성보호에 관한 법률 일부개정법률안,최혜영의원 등 18인,최혜영,"김남국,김민석,김용민,김한정,류호정,박영순,박주민,송기헌,양향자,유기홍,유정주,윤미향,이형석,전해철,정성호,정태호,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2E2X0G6D2D4H0B9H1T3S3P9V2X3D5&ageFrom=21&ageTo=21,여성가족위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2E2X0G6D2D4H0B9H1T3S3P9V2X3D5
2116218,21,국토의 계획 및 이용에 관한 법률 일부개정법률안,한준호의원등10인,한준호,"강선우,기동민,김병기,맹성규,이상헌,정일영,조승래,최인호,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2S2C0Y6A0W3V1F5V0L1Q2C9Q9J3T0&ageFrom=21&ageTo=21,국토교통위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2S2C0Y6A0W3V1F5V0L1Q2C9Q9J3T0
2116217,21,모자보건법 일부개정법률안,김학용의원 등 10인,김학용,"김미애,김병욱,김용판,백종헌,서병수,이주환,정운천,최춘식,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2G2E0S6Z2R7N1H4N5R3O4U6T8X2N2&ageFrom=21&ageTo=21,보건복지위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2G2E0S6Z2R7N1H4N5R3O4U6T8X2N2
2116216,21,상속세 및 증여세법 일부개정법률안,정운천의원 등 10인,정운천,"김미애,김승수,김학용,성일종,이종성,이채익,정우택,지성호,최춘식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2C2R0J6A2A4U1P5H0Z1D3R2I5X2N7&ageFrom=21&ageTo=21,기획재정위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2C2R0J6A2A4U1P5H0Z1D3R2I5X2N7
2116215,21,자동차관리법 일부개정법률안,구자근의원 등 10인,구자근,"김도읍,김성원,박대수,박성민,서범수,안병길,이명수,이종배,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2Z2V0V1B2L0S1U0G0F3J3Q3E3G6O9&ageFrom=21&ageTo=21,국토교통위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2Z2V0V1B2L0S1U0G0F3J3Q3E3G6O9
2116214,21,선박안전법 일부개정법률안,정점식의원 등 10인,정점식,"김용판,김태호,박덕흠,성일종,엄태영,유경준,이달곤,조수진,조해진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2R2L0D4H1Y4R1E6M1K8Y2Y0Y5W5E5&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2R2L0D4H1Y4R1E6M1K8Y2Y0Y5W5E5
2116213,21,원자력안전법 일부개정법률안,정동만의원 등 10인,정동만,"구자근,김도읍,박성민,백종헌,서병수,이종성,이주환,전봉민,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2D2P0T2M1K0H1B5U1J2N0X3V4T9I9&ageFrom=21&ageTo=21,과학기술정보방송통신위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_U2D2P0T2M1K0H1B5U1J2N0X3V4T9I9
2116212,21,해양환경관리법 일부개정법률안,정점식의원 등 10인,정점식,"김용판,김태호,박덕흠,성일종,엄태영,유경준,이달곤,조수진,조해진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2S2A0Q4U1H4H1B6O2M0L2Q6Q4X7Y1&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2S2A0Q4U1H4H1B6O2M0L2Q6Q4X7Y1
2116211,21,선박평형수(船舶平衡水) 관리법 일부개정법률안,정점식의원 등 10인,정점식,"김용판,김태호,박덕흠,성일종,엄태영,유경준,이달곤,조수진,조해진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2D2F0M4P1V4X1W6J1B9D2T3Y8W4Y5&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2D2F0M4P1V4X1W6J1B9D2T3Y8W4Y5
2116210,21,감염병의 예방 및 관리에 관한 법률 일부개정법률안,강기윤의원 등 15인,강기윤,"김도읍,김미애,김석기,백종헌,서정숙,윤영석,이달곤,이용호,이종성,이채익,전봉민,최춘식,추경호,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2S2K0W1X0X4E1M1P4G5B1N5B7C1C3&ageFrom=21&ageTo=21,보건복지위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2S2K0W1X0X4E1M1P4G5B1N5B7C1C3
2116209,21,고등교육법 일부개정법률안,윤영덕의원 등 12인,윤영덕,"권인숙,문진석,민형배,송갑석,양향자,이병훈,이용빈,이형석,조오섭,주철현,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2R2K0W6P2M4V1M0F3U8T0M8A9S8X5&ageFrom=21&ageTo=21,교육위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M2R2K0W6P2M4V1M0F3U8T0M8A9S8X5
2116208,21,아동복지법 일부개정법률안,강기윤의원 등 10인,강기윤,"김석기,김선교,김예지,이종성,임병헌,정우택,지성호,최형두,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2Z2I0D6Z1V3H1X4A3I0M0Q6K6Y6Z2&ageFrom=21&ageTo=21,보건복지위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2Z2I0D6Z1V3H1X4A3I0M0Q6K6Y6Z2
2116207,21,국민건강보험법 일부개정법률안,강기윤의원 등 10인,강기윤,"김석기,김선교,김예지,이종성,임병헌,정우택,지성호,최형두,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2M2L0B6Q1A3D1B4R2P5Z1J8C3S8I4&ageFrom=21&ageTo=21,보건복지위원회,2022-06-30,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2M2L0B6Q1A3D1B4R2P5Z1J8C3S8I4
2116205,21,군용비행장·군사격장 소음 방지 및 피해 보상에 관한 법률 일부개정법률안,조명희의원 등 17인,조명희,"김성원,노용호,박대수,박대출,박성민,박진,배준영,배현진,이명수,이종배,정우택,최춘식,태영호,하영제,홍문표,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2W2G0O6A1D4B1I1X0R8Y5N6K5U1Z7&ageFrom=21&ageTo=21,국방위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2W2G0O6A1D4B1I1X0R8Y5N6K5U1Z7
2116204,21,모자보건법 일부개정법률안,정일영의원 등 15인,정일영,"강민정,김경만,김병기,김영주,김영진,김주영,노웅래,서삼석,이수진,이용우,조승래,주철현,한준호,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2K2S0O6P2Y2S1G3M0J5E0V8K7A8V6&ageFrom=21&ageTo=21,보건복지위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2K2S0O6P2Y2S1G3M0J5E0V8K7A8V6
2116203,21,공직선거법 일부개정법률안,권칠승의원 등 10인,권칠승,"고용진,김정호,김철민,김태년,도종환,민병덕,이장섭,임종성,임호선",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2I2P0D5J2M5Q0Q9O3W0V2T5Y6U6Z9&ageFrom=21&ageTo=21,행정안전위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2I2P0D5J2M5Q0Q9O3W0V2T5Y6U6Z9
2116202,21,유아교육법 일부개정법률안,이은주의원 등 10인,이은주,"강민정,강은미,김홍걸,류호정,배진교,심상정,오영환,이수진,장혜영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2S1M0H3M0A4B1S5I1H3C2W8U7X9E6&ageFrom=21&ageTo=21,교육위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I2S1M0H3M0A4B1S5I1H3C2W8U7X9E6
2116201,21,기상법 일부개정법률안,강은미의원 등 10인,강은미,"류호정,민형배,배진교,심상정,용혜인,윤미향,이은주,장철민,장혜영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2E2Y0R1X2R6E1H5I2H1I3L7Y9U8T9&ageFrom=21&ageTo=21,환경노동위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2E2Y0R1X2R6E1H5I2H1I3L7Y9U8T9
2116200,21,지방자치단체출연 연구원의 설립 및 운영에 관한 법률 일부개정법률안,김민철의원 등 10인,김민철,"김수흥,김철민,김홍걸,오영환,이개호,이병훈,이용빈,임호선,한정애",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2D2Y0U4D2F6W1Z5R0V6M5S9V6O4G7&ageFrom=21&ageTo=21,행정안전위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2D2Y0U4D2F6W1Z5R0V6M5S9V6O4G7
2116199,21,조세특례제한법 일부개정법률안,윤영석의원 등 10인,윤영석,"김상훈,김선교,박대출,윤창현,이명수,이채익,정동만,최춘식,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2P2Y0K6P1K6Q1C5K0Y1W4T8C4A9S4&ageFrom=21&ageTo=21,기획재정위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2P2Y0K6P1K6Q1C5K0Y1W4T8C4A9S4
2116198,21,문화재보호법 일부개정법률안,이채익의원 등 10인,이채익,"구자근,김성원,김승수,백종헌,윤영석,이달곤,이용,이인선,정동만",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2Q2T0W5N1X3U1U7A3B7A0P2L5H7I2&ageFrom=21&ageTo=21,문화체육관광위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2Q2T0W5N1X3U1U7A3B7A0P2L5H7I2
2116197,21,환경오염피해 배상책임 및 구제에 관한 법률 일부개정법률안,한병도의원 등 10인,한병도,"강민정,김민철,김성주,김영진,김영호,양정숙,윤준병,이용빈,전용기",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2E2A0F6Y1W7K1Z0L3P6Z3V1U9C3G1&ageFrom=21&ageTo=21,환경노동위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2E2A0F6Y1W7K1Z0L3P6Z3V1U9C3G1
2116196,21,매장문화재 보호 및 조사에 관한 법률 일부개정법률안,배현진의원 등 12인,배현진,"김성원,김예지,김용판,박형수,유경준,유의동,이달곤,임이자,조명희,지성호,홍석준",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2M2B0J6E2X0K1V0U1H0W4H2H3Z6F3&ageFrom=21&ageTo=21,문화체육관광위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2M2B0J6E2X0K1V0U1H0W4H2H3Z6F3
2116195,21,비송사건절차법 일부개정법률안,김남국의원 등 11인,김남국,"김두관,김승남,민형배,박상혁,박주민,안규백,정성호,최혜영,한정애,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2Q2Q0E6C1Z6I0Z9N3S0S2W8P8L7F3&ageFrom=21&ageTo=21,법제사법위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2Q2Q0E6C1Z6I0Z9N3S0S2W8P8L7F3
2116194,21,주거급여법 일부개정법률안,정태호의원등11인,정태호,"강선우,김상희,김정호,송갑석,윤준병,이성만,임종성,조승래,최기상,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2H2P0D6E1R4D1T0D4N8Q2J9V5P5F4&ageFrom=21&ageTo=21,국토교통위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2H2P0D6E1R4D1T0D4N8Q2J9V5P5F4
2116193,21,중소기업기본법 일부개정법률안,정우택의원 등 10인,정우택,"강기윤,박정하,백종헌,윤영석,이인선,이종성,정운천,조명희,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2Y2R0Y6P2Q0P0U9L3F8Q3B8J6I0O6&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-06-29,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2Y2R0Y6P2Q0P0U9L3F8Q3B8J6I0O6
2116192,21,조세특례제한법 일부개정법률안,전용기의원 등 20인,전용기,"강훈식,김병기,김병주,김영배,박정,송갑석,신정훈,유기홍,유정주,윤재갑,이병훈,이성만,이원욱,정성호,주철현,최혜영,한병도,홍성국,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2Q2O0W5K1S1D0P9X5W5T1S8A6A8A8&ageFrom=21&ageTo=21,기획재정위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2Q2O0W5K1S1D0P9X5W5T1S8A6A8A8
2116191,21,종합부동산세법 일부개정법률안,신정훈의원 등 13인,신정훈,"고용진,김성주,김승남,서동용,신영대,위성곤,윤재갑,이상헌,이용빈,이탄희,정일영,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2S2R0E6L1L5A1R1W1Q0F0Y3B2L0F3&ageFrom=21&ageTo=21,기획재정위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G2S2R0E6L1L5A1R1W1Q0F0Y3B2L0F3
2116190,21,국세기본법 일부개정법률안,정일영의원 등 13인,정일영,"강민정,김경만,김병기,김주영,노웅래,서삼석,이용우,조승래,주철현,한준호,홍성국,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2J2T0C6L2Q0A1A7N4P4E1F9L2Y4A8&ageFrom=21&ageTo=21,기획재정위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2J2T0C6L2Q0A1A7N4P4E1F9L2Y4A8
2116189,21,국세징수법 일부개정법률안,정일영의원 등 13인,정일영,"강민정,김경만,김병기,김주영,노웅래,서삼석,이용우,조승래,주철현,한준호,홍성국,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2I2T0R6W2O0N1E7E4Y3Q1H9E5R2G1&ageFrom=21&ageTo=21,기획재정위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2I2T0R6W2O0N1E7E4Y3Q1H9E5R2G1
2116188,21,"종주국 김치, 인삼, 태권도의 세계화 지원에 관한 법률안",이명수의원 등 11인,이명수,"강대식,권명호,김상훈,윤상현,윤창현,이주환,이채익,이태규,임이자,한무경",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A2R0W5G0G2Z1S7B3U1H5Y3E2F7O9&ageFrom=21&ageTo=21,문화체육관광위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2A2R0W5G0G2Z1S7B3U1H5Y3E2F7O9
2116187,21,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,엄태영의원 등 11인,엄태영,"구자근,김상훈,김예지,김태호,박성민,이채익,임이자,추경호,한무경,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2L1U0B7N3C0G0S9X4J9H3E3Y5J2T2&ageFrom=21&ageTo=21,정무위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M2L1U0B7N3C0G0S9X4J9H3E3Y5J2T2
2116186,21,지방세특례제한법 일부개정법률안,신정훈의원 등 13인,신정훈,"김경만,김승남,서동용,서영교,위성곤,윤재갑,이상헌,이용빈,이학영,최기상,최혜영,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2G2H0V6I1W5L1E1I1Y2X4C1Q3V8B6&ageFrom=21&ageTo=21,행정안전위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2G2H0V6I1W5L1E1I1Y2X4C1Q3V8B6
2116185,21,장기등 이식에 관한 법률 일부개정법률안,송옥주의원 등 14인,송옥주,"강병원,김경만,남인순,박주민,소병훈,오영환,윤미향,이수진,이형석,임종성,정성호,최기상,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Y2A0T6F1F4M0C9X5M0E4H9C9U2W8&ageFrom=21&ageTo=21,보건복지위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2Y2A0T6F1F4M0C9X5M0E4H9C9U2W8
2116184,21,공공기관의 운영에 관한 법률 일부개정법률안,이재명의원 등 14인,이재명,"강선우,고용진,김두관,김병욱,노웅래,박찬대,윤후덕,이동주,이수진,장경태,전용기,정성호,조정식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2V2M0V6B2F8J1Z5N2E9D0X6A9W2B2&ageFrom=21&ageTo=21,기획재정위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2V2M0V6B2F8J1Z5N2E9D0X6A9W2B2
2116183,21,표시·광고의 공정화에 관한 법률 일부개정법률안,송옥주의원등10인,송옥주,"김경만,김병욱,남인순,소병훈,오영환,윤미향,이수진,최기상,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2U2I0A6P1I4P0A9R5V1E4T9Z4V8X4&ageFrom=21&ageTo=21,정무위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2U2I0A6P1I4P0A9R5V1E4T9Z4V8X4
2116182,21,자동차관리법 일부개정법률안,문진석의원 등 13인,문진석,"김교흥,김병기,김병욱,김윤덕,변재일,서영석,우원식,윤재갑,이용빈,이정문,이형석,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2V2D0J6U1S3E1Z1X3J9O4P7M8G6A9&ageFrom=21&ageTo=21,국토교통위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2V2D0J6U1S3E1Z1X3J9O4P7M8G6A9
2116181,21,수상에서의 수색·구조 등에 관한 법률 일부개정법률안,김철민의원 등 10인,김철민,"강선우,김민철,김영배,민형배,서동용,유동수,이정문,이형석,조승래",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2R2P0M6E2D7R1P6I0W8C4P2J6C4J7&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-06-28,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2R2P0M6E2D7R1P6I0W8C4P2J6C4J7
